survey id,image,class,x,y
,ortho_clip_23april.jpg,nest,40.55307279,312.1357724
,ortho_clip_23april.jpg,nest,2336.443791,436.0528786
,ortho_clip_23april.jpg,nest,3528.404955,331.1003233
,ortho_clip_23april.jpg,nest,4103.145139,92.45820349
,ortho_clip_23april.jpg,nest,4169.365203,13.743787
,ortho_clip_23april.jpg,nest,3687.845085,338.621578
,ortho_clip_23april.jpg,nest,4279.982268,392.7632002
,ortho_clip_23april.jpg,nest,4423.953345,178.0694895
,ortho_clip_23april.jpg,nest,9980.73174,352.3502664
,ortho_clip_23april.jpg,nest,11443.17478,469.8003552
,ortho_clip_23april.jpg,nest,11992.5381,424.3358047
,ortho_clip_23april.jpg,nest,14702.73047,289.2050574
,ortho_clip_23april.jpg,nest,15510.98915,344.7728413
,ortho_clip_23april.jpg,nest,15899.44424,243.1383799
,ortho_clip_23april.jpg,nest,16094.85785,165.7468531
,ortho_clip_23april.jpg,nest,16423.77184,262.4862616
,ortho_clip_23april.jpg,nest,17844.55128,169.6164295
,ortho_clip_23april.jpg,nest,18195.39287,448.8708552
,ortho_clip_23april.jpg,nest,18487.54588,614.6177083
,ortho_clip_23april.jpg,nest,18918.35871,463.7042311
,ortho_clip_23april.jpg,nest,18937.06167,543.6754754
,ortho_clip_23april.jpg,nest,19020.90249,629.4510842
,ortho_clip_23april.jpg,nest,18978.33715,231.5296509
,ortho_clip_23april.jpg,nest,19355.62084,339.8777883
,ortho_clip_23april.jpg,nest,19736.77411,206.3774047
,ortho_clip_23april.jpg,nest,19865.75999,49.659563
,ortho_clip_23april.jpg,nest,20315.9207,54.81899812
,ortho_clip_23april.jpg,nest,20437.81236,432.7476204
,ortho_clip_23april.jpg,nest,20613.87808,228.9499333
,ortho_clip_23april.jpg,nest,20676.43623,261.1964028
,ortho_clip_23april.jpg,nest,20705.79634,171.014941
,ortho_clip_23april.jpg,nest,20927.14162,128.8023923
,ortho_clip_23april.jpg,nest,21233.99438,330.664965
,ortho_clip_23april.jpg,nest,21136.58081,34.63593742
,ortho_clip_23april.jpg,nest,21618.23681,191.0388423
,ortho_clip_23april.jpg,nest,21665.86123,478.4088856
,ortho_clip_23april.jpg,nest,21835.79379,202.9449458
,ortho_clip_23april.jpg,nest,21894.78313,309.5586907
,ortho_clip_23april.jpg,nest,22042.52705,495.7268543
,ortho_clip_23april.jpg,nest,22175.11774,86.04865702
,ortho_clip_23april.jpg,nest,22778.54072,416.1724355
,ortho_clip_23april.jpg,nest,24815.56679,339.8651359
,ortho_clip_23april.jpg,nest,24991.99359,159.1088375
,ortho_clip_23april.jpg,nest,25368.11822,284.1229241
,ortho_clip_23april.jpg,nest,25463.90824,73.06018049
,ortho_clip_23april.jpg,nest,26192.88648,246.2398676
,ortho_clip_23april.jpg,nest,26744.35555,243.533935
,ortho_clip_23april.jpg,nest,27532.32313,258.145971
,ortho_clip_23april.jpg,nest,27793.17503,106.6137449
,ortho_clip_23april.jpg,nest,28312.1729,9.200170876
,ortho_clip_23april.jpg,nest,28242.90103,11.36491696
,ortho_clip_23april.jpg,nest,28951.31419,252.1929193
,ortho_clip_23april.jpg,nest,28993.52674,255.981225
